ID,Win,NickName,Champion,item
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 죽음의 무도 수호 천사 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,룬 나침반 공생형 밑창 제어 와드 롱소드 땅굴 채굴기 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 충전형 물약 0 헤르메스의 발걸음 도란의 방패 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 검 충전형 물약 삼위일체 장화 롱소드 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 충전형 물약 삼위일체 콜필드의 전투 망치 장화 강철 인장
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 롱소드 롱소드 판금 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 죽음의 무도 도란의 검 판금 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 충전형 물약 0 삼위일체 도란의 방패 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 강철 인장 약간 신비한 신발 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 강철 인장 장화 도란의 방패 곡괭이
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 수호 천사 약간 신비한 신발 스테락의 도전
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 헤르메스의 발걸음 음전자 망토 맬모셔스의 아귀
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 죽음의 무도 0 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 헤르메스의 발걸음 도란의 방패 땅굴 채굴기
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 도란의 검 롱소드 판금 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 헤르메스의 발걸음 도란의 검 콜필드의 전투 망치 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 장화 강철 인장 콜필드의 전투 망치
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 곡괭이 0 0 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 콜필드의 전투 망치 강철 인장 헤르메스의 발걸음
